Article_Number,Title,First_Author,Year,Journal,Volume,Issue,Pages
205,Livestock grazing is associated with seasonal reduction in pollinator biodiversity and functional dispersion but cheatgrass invasion is not: Variation in bee assemblages in a multiuse shortgrass prairie,K. Thapa-Magar,2020,PLoS ONE,15,,
206,Local and landscape effects in a host—parasitoid interaction network along a forest—cropland gradient,S. Osorio,2015,Ecological Applications,25,,
207,"Local and landscape habitat influences on bee diversity in agricultural landscapes in Anolaima, Colombia",M. Cely‑Santos,2019,Journal of Insect Conservation,23,,
208,Local and landscape-level floral resources explain effects of wildflower strips on wild bees across four European countries,J. Scheper,2015,Journal of Applied Ecology,52,,
209,Local management and landscape drivers of pollination and biological control services in a Kenyan agro-ecosystem,M. Otieno,2011,Biological Control,144,,
210,Logging in boreal field-forest ecotones promotes flower-visiting insect diversity and modifies insect community composition,E. Korpela,2015,Insect Conservation and Diversity,8,,
211,Loss of parasitoid diversity in China’s corn agro‑ecosystem over a 30‑year time period,Z. Hu,2023,Biodiversity and Conservation,32,,
212,Macrophytes promote aquatic insect conservation in artificial ponds,A. Briggs,2018,Aquatic Conservation: Marine and Freshwater Ecosystems,NA,,
213,"Maize Benefits the Predatory Beetle, Propylea japonica (Thunberg), to Provide Potential to Enhance Biological Control for Aphids in Cotton ",F. Ouyang,2012,PLoS ONE,7,,
214,Management Intensification of Hay Meadows and Fruit Orchards Alters Soil Macro- Invertebrate Communities Differently,E. Guariento,2020,Agronomy,10,,
215,Management linked to ecological intensifcation supports insect pollinators in Iberian wood‑pastures,A. Pardo,2023,Landscape Ecology,38,,
216,"Management practices and diversity of flower visitors and herbaceous plants in conventional and organic avocado orchards in Michoacán, Mexico",L. Villamil,2017,Agroecology and Sustainable Food Systems,42,,
217,Management pressure drives leafhopper communities in vineyards in Southern Switzerland,V. Trivellone,2012,Insect Conservation and Diversity,5,,
218,"Management to Promote Flowering Understoreys Benefits Natural Enemy Diversity, Aphid Suppression and Income in an Agroforestry System",T. Staton,2021,Agronomy,11,,
219,Management trade-offs on ecosystem services in apple orchards across Europe: Direct and indirect effects of organic production,U. Samnegard,2018,Journal of Applied Ecology,56,,
220,Managing habitats on English farmland for insect pollinator conservation,J.M. Holland,2015,Biological Conservation,182,,
221,Mass-flowering crops dilute pollinator abundance in agricultural landscapes across Europe,A. Holzschuh,2016,Ecology Letters,19,,
222,Maximizing ecosystem services to the oil crop Brassica carinata through landscape heterogeneity and arthropod diversity,S. Stiles,2021,Ecoshpere,12,,
223,Mitigating the biodiversity footprint of energy crops – A case study on arthropod diversity,L. Chmelikova,2019,Biomass and Bioenergy,125,,
224,Mixed effects of ecological intensification on natural pest control providers: a short-term study for biotic homogenization in winter wheat fields,Z. Elek,2020,PeerJ,NA,,
225,Monitoring Arthropods in Azorean Agroecosystems: the project AGRO-ECOSERVICES,P.A.V Borges,2021,Biodiversity Data Journal,9,,
226,Morphological Diversity of Coleoptera (Arthropoda: Insecta) in Agriculture and Forest Systems,P.N. Pompeo,2017,Revista Brasileira de Ciencia do Solo,41,,
227,Moth diversity in three biofuel crops and native prairie in Illinois,T. Harrison,2013,Insect Science,20,,
228,"Multifunctional agroforestry landscapes: augmenting butterfly biodiversity at foot hills of Nilgiris, India",Keerthika. A,2022,International Journal of Tropical Insect Science,42,,
229,Multispecies co-culture promotes ecological intensification of vegetable production,N-F. Wan,2020,Journal of Cleaner Production,257,,
230,Mustard plants distant from forest fragments receive a lower diversity of flower-visiting insects,K. Devkota,2020,Basic and Applied Ecology,47,,
231,Mutual and Opposing Responses of Carabid Beetles and Predatory Wasps to Local and Landscape Factors in Vineyards,D. Uzman,2020,Insects,11,,
232,"Native bee communities vary across three prairie ecoregions due to land use, climate, sampling method and bee life history traits",M. Kohler,2020,Insect Conservation and Diversity,13,,
233,Native bees buffer the negative impact of climate warming on honey bee pollination of watermelon crops,R. Rader,2013,Global Change Biology,19,,
234,Native cover crops enhance arthropod diversity in vineyards of the Cape Floristic Region,M. Eckert,2020,Journal of Insect Conservation,24,,
235,Native flower strips increase visitation by non-bee insects to avocado flowers and promote yield,A.E.Munoz,2021,Basic and Applied Ecology,56,,
236,Native tree species richness enhances matrix functionality for soil arthropods in tropical plantation landscapes: A case study from the Himalayas,A. Chowdhury,2021,Insect Conservation and Diversity,15,,
237,Native vegetation embedded in landscapes dominated by corn and soybean improves honey bee health and productivity,G. Zhang,2022,Journal of Applied Ecology,60,,
238,Natural enemy interactions constrain pest control in complex agricultural landscapes,E.A. Martin,2013,Proceedings of the National Academy of Sciences of the United States of America,110,,
239,"Natural pest control in citrus as an ecosystem service: Integrating ecology, economics and management at the farm scale",M.J. Colloff,2013,Biological Control,67,,
240,Neighbouring crop diversity mediates the effect of Bt cotton on insect community and leaf damage in fields,Y. Liu,2019,Transgenic Research,28,,
241,Niche complementarity drives increases in pollinator functional diversity in diversified agroforestry systems,T. Staton,2022,"Agriculture, Ecosystems and Environment",336,,
242,Nocturnal pollinators strongly contribute to pollen transport of wild flowers in an agricultural landscape,R.E. Walton,2020,Biology Letters,16,,
243,Nonlinear effects of environmental drivers shape macroinvertebrate biodiversity in an agricultural pondscape,C. Musseau,2022,Ecology and Evolution,12,,
244,Novel management to enhance spider biodiversity in existing grass buffer strips,R. Blake,2013,Agricultural and Forest Entomology,15,,
245,Odonata in rice agroecosystems: Testing good practices for their conservation,D. Giuliano,2019,"Agriculture, Ecosystems and Environment",275,,
246,On the verge? Preferential use of road-facing hedgerow margins by bumblebees in agro-ecosystems,M. Hanley,2015,Journal of Insect Conservation,19,,
247,Open-canopy ponds benefit diurnal pollinator communities in an agricultural landscape: implications for farmland pond management,R. Walton,2021,Insect Conservation and Diversity,14,,
248,Organic farming affects the biological control of hemipteran pests and yields in spring barley independent of landscape complexity,K. Birkhofer,2016,Landscape Ecology,31,,
249,Organic farming and associated management practices benefit multiple wildlife taxa: A large‐scale field study in rice paddy landscapes,N. Katayama,2019,Journal of Applied Ecology,56,,
250,Organic farming and host density affect parasitism rates of tortricid moths in vineyards,A. Rusch,2015,"Agriculture, Ecosystems and Environment",214,,
251,"Organic farming and landscape factors affect abundance and richness of hoverflies (Diptera, Syrphidae) in grasslands",E. Power,2016,Insect Conservation and Diversity,9,,
252,Organic farming at local and landscape scales fosters biological pest control in vineyards,L. Muneret,2019,Ecological Applications,29,,
253,Organic farming in isolated landscapes does not benefit flower-visiting insects and pollination,C. Brittain,2010,Biological Control,143,,
254,Organic farming promotes bee abundance in vineyards in Italy but not in South Africa,T. Kehinde,2018,Journal of Insect Conservation,22,,
255,Organic fertilisation enhances generalist predators and suppresses aphid growth in the absence of specialist predators,G. Aguilera,2020,Journal of Applied Ecology,58,,
256,Organic maize and bean farming enhances free-living nematode dynamics in sub-Saharan Africa,J. Atandi,2022,"Agriculture, Ecosystems and Environment",327,,
257,Organic Regime Promotes Evenness of Natural Enemies and Planthopper Control in Paddy Fields,X. Yuan,2019,Community and Ecosystem Ecology,48,,
258,Organic versus conventional systems in viticulture: Comparative effects on spiders and carabids in vineyards and adjacent forests,E. Caprio,2015,Agricultural Systems,136,,
259,Parasitoid wasps diversity (Hymenoptera: Ichneumonidae) in diverse habitats of northeastern Iran,P. Aghadokht,2020,North-Western Journal of Zoology,16,,
260,"Perennial woodlands benefit parasitoid diversity, but annual flowering fallows enhance parasitism of wheat aphids in an agricultural landscape",L. Yang,2022,"Agriculture, Ecosystems and Environment",340,,
261,Pest control of aphids depends on landscape complexity and natural enemy interactions,E. Martain,2015,PeerJ,3,,
262,Pest regulation and support of natural enemies in agriculture: Experimental evidence of within field wildflower strips,S. Hatt,2017,Ecological Engineering,98,,
263,Pesticide seed dressings can affect the activity of various soil organisms and reduce decomposition of plant material,J. Zaller,2016,BMC Ecology,16,,
264,Plant diversification promotes biocontrol services in peach orchards by shaping the ecological niches of insect herbivores and their natural enemies,N-F. Wan,2019,Ecological Indicators,99,,
265,Plant-pollinator interactions and bee functional diversity are driven by agroforests in rice-dominated landscapes,A. Hass,2018,"Agriculture, Ecosystems and Environment",253,,
266,Plant-Rich Field Margins Influence Natural Predators of Aphids More Than Intercropping in Common Bean,B. Ndakidemi,2022,Insects,13,,
267,Plasticulture changes soil invertebrate assemblages of strawberry fields and decreases diversity and soil microbial activity,J. Schirmel,2018,Applied Soil Ecology,124,,
268,Pollination services are mediated by bee functional diversity and landscape context,K. Martins,2015,"Agriculture, Ecosystems and Environment",200,,
269,Pollination services decline with distance from natural habitat even in biodiversity-rich areas,L. Carvalheiro,2010,Journal of Applied Ecology,47,,
270,Pollinator body size mediates the scale at which land use drives crop pollination services,F. Benjamin,2014,Journal of Applied Ecology,51,,
271,"Pollinator diversity, floral resources and semi-natural habitat, instead of honey bees and intensive agriculture, enhance pollination service to sweet cherry",M. Eeraerts,2019,"Agriculture, Ecosystems and Environment",284,,
272,Pollinator floral provisioning by a plant invader: quantifying beneficial effects of detrimental species,L. Russo,2016,Diversity and Distribution,22,,
273,Pollinators communities differ across years and crops,D. Bevk,2021,"Plant, Soil and Environment",67,,
274,Positive effects of wheat variety mixtures on aboveground arthropods are weak and variable,F. Dubs,2018,Basic and Applied Ecology,33,,
275,Potential of slash-and-mulch system with legumes to conserve soil attributes and macrofauna diversity in Eastern Amazon,G. Rousseau,2022,Pedobiologia - Journal of Soil Ecology,95,,
276,Prairie strips improve biodiversity and the delivery of multiple ecosystem services from corn–soybean croplands,L. Schulte,2017,Proceedings of the National Academy of Sciences of the United States of America,42,,
277,Predation of grape berry moths by harvestmen depends on landscape composition,D. Papura,2020,Biological Control,150,,
278,"Predation of potential insect pests in oil palm plantations, rubber tree plantations, and fruit orchards",N. Denan,2019,Ecology and Evolution,10,,
279,Predation pressure in maize across Europe and in Argentina: an intercontinental comparison,M. Ferrante,2019,Insect Science,26,,
280,Predation-mediated ecosystem services and disservices in agricultural landscapes,M. Tschumi,2018,Ecological Applications,28,,
281,Predatory arthropods associated with potential native insectary plants for Australian vineyards,M. Retallack,2019,Australian Journal of Grape and Wine Research,25,,
282,Promoting generalist predators of crop pests in alley cropping agroforestry fields: Farming system matters,S. Boinot,2020,Ecological Engineering,158,,
283,Promoting Pollinating Insects in Intensive Agricultural Matrices: Field-Scale Experimental Manipulation of Hay-Meadow Mowing Regimes and Its Effects on Bees,P. Buri,2014,PLoS ONE,9,,
284,Rapid biodiversity assessment of arthropods for monitoring average local species richness and related ecosystem services,M. Obrist,2010,Biodiversity and Conservation,19,,
285,Reduced crop density increases floral resources to pollinators without affecting crop yield in organic and conventional fields,W. Sidemo-Holm,2020,Journal of Applied Ecology,58,,
286,Reduced species richness of native bees in field margins associated with neonicotinoid concentrations in non-target soils,A. Main,2020,"Agriculture, Ecosystems and Environment",287,,
287,Relationships between management practices and ground-active invertebrate biodiversity in New Zealand kiwifruit orchards,J. Todd,2016,Agricultural and Forest Entomology,18,,
288,Replacing low-intensity cattle pasture with oil palm conserves dung beetle functional diversity when paired with forest protection,R. Davies,2021,Journal of Environmental Management,283,,
289,Replanting of first‐cycle oil palm results in a second wave of biodiversity loss,A. Ashton-Butt,2018,Ecology and Evolution,9,,
290,Residues of pesticides in dairy cow rations and fly treatments reduce the number of Coleoptera in dung,M. Bruinenburg,2023,"Agriculture, Ecosystems and Environment",344,,
291,Response of farmland biodiversity to the introduction of bioenergy crops: effects of local factors and surrounding landscape context,D. Bourke,2014,Global Change Biology Bioenergy,6,,
292,Response of ground spiders to local and landscape factors in a Mexican coffee landscape,L. Marin,2016,"Agriculture, Ecosystems and Environment",222,,
293,Response of the copro-necrophagous beetle (Coleoptera: Scarabaeinae) assemblage to a range of soil characteristics and livestock management in a tropical landscape,P. Menegaz De Farias,2015,Journal of Insect Conservation,19,,
294,"Response of wild bee diversity, abundance, and functional traits to vineyard inter‐row management intensity and landscape diversity across Europe",S. Kratschmer,2019,Ecology and Evolution,9,,
295,Responses of Crop Pests and Natural Enemies to Wildflower Borders Depends on Functional Group,E. McCabe,2017,Insects,8,,
296,Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,L. Cole,2015,"Agriculture, Ecosystems and Environment",211,,
297,Riparian Vegetation Structure Influences Terrestrial Invertebrate Communities in an Agricultural Landscape,C. Popescu,2021,Water,13,,
298,Roadside verges can support spontaneous establishment of steppe-like habitats hosting diverse assemblages of bees and wasps (Hymenoptera: Aculeata) in an intensively cultivated central European landscape,P. Heneberg,2017,Biodiversity Conservation,26,,
299,Role of floral resources in the conservation of pollinator communities in cider-apple orchards,R. Garcia,2014,"Agriculture, Ecosystems and Environment",183,,
300,Scale-dependent environmental fltering of ground-dwelling predators in winter wheat and adjacent set-aside areas in Hungary,J. Růžičková,2020,Journal of Insect Conservation,24,,
301,Seasonal complementary in pollinators of soft-fruit crops,C. Ellis,2017,Basic and Applied Ecology,19,,
302,Secondary tropical forests recover dung beetle functional diversity and trait composition,R. Davies,2020,Animal Conservation,23,,
303,Seed predation increases with ground beetle diversity in a Wisconsin (USA) potato agroecosystem,H. Gaines,2010,"Agriculture, Ecosystems and Environment",137,,
304,Seed predation intensity and stability in agro-ecosystems: Role of predator diversity and soil disturbance,F. Lami,2020,"Agriculture, Ecosystems and Environment",288,,
305,Small‑scale traditional maize farming fosters greater arthropod diversity value than conventional maize farming,N. Otieno,2022,Journal of Insect Conservation,26,,
306,Soil macrofauna as indicators of soil quality and land use impacts in smallholder agroecosystems of western Nicaragua,L. Rousseau,2013,Ecological Indicators,27,,
307,Soil Macrofauna Responses to Sugarcane Straw Removal for Bioenergy Production,L. Menandro,2019,BioEnergy Research,12,,
308,Soil macroinvertebrate communities and ecosystem services in deforested landscapes of Amazonia,R. Marichal,2014,Applied Soil Ecology,83,,
309,Sown wildflowers between vines increase beneficial insect abundance and richness in a British vineyard,J. Griffiths-Lee,2022,Agricultural and Forest Entomology,25,,
310,Spatial aggregation of herbivores and predators enhances tri-trophic cascades in paddy fields: Rice monoculture versus rice-fish co-culture,N. Wan,2021,Journal of Applied Ecology,59,,
311,"Spatial and seasonal distribution of Bee Pollinator Species in a Sudanese Agro-ecological System in Burkina Faso, West Africa",D. Coulibaly,2016,Entomology and Applied Science Letters,3,,
312,Spatial and temporal variation in pollinator effectiveness: do unmanaged insects provide consistent pollination services to mass flowering crops?,R. Rader,2012,Journal of Applied Ecology,49,,
313,"Species diversity in bee flies and hover flies (Diptera: Bombyliidae and Syrphidae) in the horticultural environments of the Blue Mountains, Australia",A. Robertson,2020,Austral Ecology,59,,
314,Species diversity of entomophilous plants and flower-visiting insects is sustained in the field margins of sunflower crops,J. Torretta,2013,Journal of Natural History,47,,
315,Species-Enriched Grass-Clover Mixtures Can Promote Bumblebee Abundance Compared with Intensively Managed Conventional Pastures,H. Beye,2022,Agronomy,12,,
316,Spider (Araneae) abundance and species richness comparison between native wildfower plantings and fallow controls in intensively managed agricultural areas,J. Campbell,2020,Arthropod-Plant Interactions,14,,
317,Spill-over of pest control and pollination services into arable crops,B. Woodcock,2016,"Agriculture, Ecosystems and Environment",231,,
318,Summer Flowering Cover Crops Support Wild Bees in Vineyards,H. Wilson,2018,Environmental Entomology,47,,
319,"Surface-active arthropods in organic vineyards, integrated vineyards and natural habitat in the Cape Floristic Region",R. Gaigher,2010,Journal of Insect Conservation,14,,
320,"Sweep netting samples, but not sticky trap samples, indicate beneficial arthropod abundance is negatively associated with landscape wide insecticide use",L. Bakker,2021,Journal of Applied Ecology,59,,
321,Taxon- and functional group-specific responses of ground beetles and spiders to landscape complexity and management intensity in apple orchards of the North China Plain,M. Wang,2022,"Agriculture, Ecosystems and Environment",323,,
322,Temporal change in vegetation productivity in grain production landscapes: linking landscape complexity with pest and natural enemy communities,S. Macfadyen,2015,Ecological Entomology,40,,
323,Temporary non-crop habitats within arable fields: The effects of field defects on carabid beetle assemblages,M. Seidi,2020,"Agriculture, Ecosystems and Environment",293,,
324,Termite diversity and complexity in Vietnamese agroecosystems along a gradient of increasing disturbance,K-B. Neoh,2015,Journal of Insect Conservation,19,,
325,"The contrasting response of cavity-nesting bees, wasps and their natural enemies to biodiversity conservation measures",N. Beyer,2022,Insect Conservation and Diversity,,,
326,The contribution of plant species with a steady-state flowering phenology to native bee conservation and bee pollination services,V. Peters,2013,Insect Conservation and Diversity,6,,
327,The Diversification and Intensification of Crop Rotations under No-Till Promote Earthworm Abundance and Biomass,M. Rodriguez,2020,Agronomy,10,,
328,The effect of cover plants management on soil invertebrate fauna in vineyard in Northern Italy,D. Sommaggio,2018,BioControl,63,,
329,The effects of landscape complexity and local management on a generalist predator in Kenyan maize push-pull systems,A. Salzberg,2022,Entomologia Experimentalis et Applicata,171,,
330,The impact of an insecticide on insect flower visitation and pollination in an agricultural landscape,C. Brittain,2010,Agricultural and Forest Entomology,12,,
331,The impact of conventional and organic farming on soil biodiversity conservation: a case study on termites in the long-term farming systems comparison trials in Kenya,J. Anyango,2020,BMC Ecology,20,,
332,The Impact of Prairie Strips on Aphidophagous Predator Abundance and Soybean Aphid Predation in Agricultural Catchments,R. Cox,2014,Environmental Entomology,43,,
333,The impact of reduced tillage and distance to feld margin on predator functional diversity,S. Jacobsen,2022,Journal of Insect Conservation,26,,
334,The importance of viticultural landscape features and ecosystem service enhancement for native butterflies in New Zealand vineyards,M. Gillespie,2011,Journal of Insect Conservation,16,,
335,The influence of spatiotemporally decoupled land use on honey bee colony health and pollination service delivery,M. Smart,2018,Environmental Research Letters,13,,
336,"The Quantity and Quality Structure of Coccinellids (Coleoptera, Coccinellidae) in Apple Orchards with Integrated and Ecological Management and in Their Surroundings",E. Wojciechowicz-Żytko,2022,Polish Journal of Environmental Studies,31,,
337,The role of integrating agroforestry and vegetable planting in structuring communities of herbivorous insects and their natural enemies in the Neotropical region,E. Harterreiten-Souza,2014,Agroforest Systems,88,,
338,The winners and losers of land use intensification: pollinator community disassembly is non-random and alters functional diversity,R. Rader,2014,Diversity and Distribution,20,,
339,Tree identity and canopy openness mediate oil palm biodiversity enrichment effects on insect herbivory and pollination,K. Li,2022,Ecological Applications,,,
340,Trophic links between functional groups of arable plants and beetles are stable at a national scale,D. Brooks,2012,Journal of Animal Ecology,81,,
341,"Unpredicted ecological and ecosystem services of biodiversity. Spontaneous vegetation, hedgerows, and maple trees as useful landscape components to increase predatory mite population in agroecosystems",F. Gavinelli,2020,Applied Soil Ecology,154,,
342,Using functional traits to quantify the value of plant communities to invertebrate ecosystem service providers in arable landscapes,J. Storkey,2013,Journal of Ecology,101,,
343,Using Malaise traps to assess aculeate Hymenoptera associated with farmland linear habitats across a range of farming intensities,A. Volpato,2020,Insect Conservation and Diversity,13,,
344,Utilisation of agri-environment scheme habitats to enhance invertebrate ecosystem service providers,J. Holland,2014,"Agriculture, Ecosystems and Environment",183,,
345,Vegetation increases abundances of ground and canopy arthropods in Mediterranean vineyards,C. Blaise,2022,Scientific Reports,12,,
346,"Wetlands Provide a Source of Arthropods Beneficial to Agriculture: A Case Study from Central Georgia, USA",G. Cardona-Rivera,2021,Journal of Entomology Science,56,,
347,"Wild Bee Pollinators Provide the Majority of Crop Visitation across Land-Use Gradients in New Jersey and Pennsylvania, USA",R. Winfree,2008,Journal of Applied Ecology,45,,
348,Wild pollination services to California almond rely on semi-natural habitat,A-M. Klein,2012,Journal of Applied Ecology,49,,
349,Wild pollinators enhance oilseed rape yield in small-holder farming systems in China,Y. Zou,2017,BMC Ecology,17,,
350,Wildflower plantings harbor increased arthropod richness and abundance within agricultural areas in Florida (USA),J. Campbell,2019,Ecoshpere,10,,
351,"Winter cover crops and no-till promote soil macrofauna communities in irrigated, Mediterranean cropland in California, USA",C. Kelly,2021,Applied Soil Ecology,166,,
352,"Within-orchard variability of the ecosystem service ‘parasitism’: Effects of cultivars, ants and tree location",K. Mody,2011,Basic and Applied Ecology,12,,
353,Woody habitats promote pollinators and complexity of plant– pollinator interactions in homegardens located in rice terraces of the Philippine Cordilleras,J. Schrader,2018,Paddy and Water Environment,16,,
354,Woody perennial polycultures increase ant diversity and ant-mediated ecosystem services compared to conventional corn-soybean rotations,K. Roeder,2022,"Agriculture, Ecosystems and Environment",336,,
